Book Name,Author,Rating,Customers_Rated,Price
Just Feed Me: Simply Delicious Recipes from My Heart to Your Plate,Jessie James Decker,4.5 out of 5 stars,362,$15.60
Rage,Bob Woodward,4.7 out of 5 stars,"3,164",$18.00
Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9) (9),Dav Pilkey,4.9 out of 5 stars,"3,555",$7.79
Midnight Sun,Stephenie Meyer,4.8 out of 5 stars,"21,199",$16.79
Blackout: How Black America Can Make Its Second Escape from the Democrat Plantation,Candace Owens,4.8 out of 5 stars,"1,205",$17.23
The Home Edit Life: The No-Guilt Guide to Owning What You Want and Organizing Everything,Clea Shearer,4.7 out of 5 stars,428,$17.10
The Return,Nicholas Sparks,-1,0,$17.14
The Meaning of Mariah Carey,Mariah Carey,-1,0,$17.99
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8 out of 5 stars,"3,928",$19.20
My Own Words,Ruth Bader Ginsburg,4.7 out of 5 stars,988,$10.80
Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,Jay Shetty,4.9 out of 5 stars,"2,291",$16.20
Room on the Broom,Julia Donaldson,4.9 out of 5 stars,"7,952",$5.00
Untamed,Glennon Doyle,4.7 out of 5 stars,"15,135",$13.49
Didn't See That Coming: Putting Life Back Together When Your World Falls Apart,Rachel Hollis,-1,0,$13.98
Disloyal: A Memoir: The True Story of the Former Personal Attorney to President Donald J. Trump,Michael Cohen,4.5 out of 5 stars,"6,420",$19.50
If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"16,742",$4.79
"The Good Fight: Wanting to Leave, Choosing to Stay, and the Powerful Practice for Loving Faithfully",Jana Kramer,4.7 out of 5 stars,62,$16.53
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring…",Crystal Radke,4.8 out of 5 stars,"22,447",$5.58
Solutions and Other Problems,Allie Brosh,4.8 out of 5 stars,314,$18.72
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8 out of 5 stars,"23,264",$6.69
The Evening and the Morning (Kingsbridge),Ken Follett,4.7 out of 5 stars,"1,261",$21.60
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7 out of 5 stars,"23,473",$6.48
The Harbinger II: The Return,Jonathan Cahn,4.9 out of 5 stars,"1,484",$14.99
50 Sight Words Flashcards: Scholastic Early Learners (Flashcards),Scholastic,4.7 out of 5 stars,630,$1.87
The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"19,661",$1.21
Skinnytaste Meal Prep: Healthy Make-Ahead Meals and Freezer Recipes to Simplify Your Life: A Cookbook,Gina Homolka,4.7 out of 5 stars,263,$19.50
I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"8,538",$1.59
Who Is Ruth Bader Ginsburg? (Who Was?),Patricia Brennan Demuth,4.9 out of 5 stars,429,$4.33
A Promised Land,Barack Obama,-1,0,$27.00
Spooky Pookie (Little Pookie),Sandra Boynton,4.9 out of 5 stars,761,$0.35
Modern Comfort Food: A Barefoot Contessa Cookbook,Ina Garten,-1,0,$21.51
After We Collided (2) (The After Series),Anna Todd,4.7 out of 5 stars,"4,083",$9.19
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,"25,682",$1.96
The Vanishing Half: A Novel,Brit Bennett,4.5 out of 5 stars,"9,854",$16.20
The Home Edit: A Guide to Organizing and Realizing Your House Goals (Includes Refrigerator Labels),Clea Shearer,4.7 out of 5 stars,"2,096",$13.29
Killing Crazy Horse: The Merciless Indian Wars in America (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6 out of 5 stars,649,$18.00
My Little Golden Book About Ruth Bader Ginsburg,Shana Corey,-1,0,$4.99
"School Zone - Multiplication 0-12 Flash Cards - Ages 8+, 3rd Grade, 4th Grade, Elementary Math, Multiplication Facts…",School Zone,4.6 out of 5 stars,"6,287",$2.99
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"12,585",$16.20
White Fragility: Why It's So Hard for White People to Talk About Racism,Robin DiAngelo,4.5 out of 5 stars,"17,366",$9.60
Ten Timid Ghosts (Read with Me Cartwheel Books (Scholastic Paperback)),Jennifer O'Connell,4.9 out of 5 stars,"1,028",$0.35
Humans,Brandon Stanton,-1,0,$21.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7 out of 5 stars,"31,178",$6.62
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,"12,436",$5.75
Little Blue Truck's Halloween,Alice Schertle,4.9 out of 5 stars,"1,645",$11.69
"The Full Plate: Flavor-Filled, Easy Recipes for Families with No Time and a Lot to Do",Ayesha Curry,4.7 out of 5 stars,68,$18.00
Where the Crawdads Sing,Delia Owens,4.8 out of 5 stars,"88,665",$5.34
I Dissent: Ruth Bader Ginsburg Makes Her Mark,Debbie Levy,4.9 out of 5 stars,651,$14.23
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9 out of 5 stars,"14,416",$5.67
"Speaking for Myself: Faith, Freedom, and the Fight of Our Lives Inside the Trump White House",Sarah Huckabee Sanders,4.7 out of 5 stars,765,$17.99
